CodeVar;CodeEntity;NomVar;Valeur;Source;NomEntite;Min;Max;IndiceChampSource;IndiceTableSource;TypeVar;IndiceChampDest;IndiceTableDest
168;6;"MaxNbjSimule";0;"Temp";"Simulation";0;0;-1;-1;"State";-1;-1
169;6;"NbjSemis";0;"Temp";"Simulation";0;0;-1;-1;"State";-1;-1
170;2;"SommeDegresJourMax";0;"Temp";"Crop";0;0;-1;-1;"State";-1;-1
171;3;"Latitude";12.39;"Station";"Site";0;0;3;65;"Input Var";-1;-1
172;1;"SeuilTemp";0;"Resjour";"Plot";0;0;148;20;"State";-1;-1
173;1;"SumDDPhasePrec";0;"Resjour";"Plot";0;0;147;20;"State";-1;-1
177;2;"AssimPot";0;"Resjour";"Crop";0;800;60;20;"State";-1;-1
179;3;"RgCalc";0;"Resjour";"Site";0;30;77;20;"State";-1;-1
180;3;"ETo";0;"Resjour";"Site";0;10;13;20;"State";-1;-1
181;1;"ProfRu";0;"Temp";"Plot";0;0;-1;-1;"State";-1;-1
182;3;"TMoyCalc";0;"Resjour";"Site";0;35;79;20;"State";-1;-1
183;3;"HMoyCalc";0;"Resjour";"Site";0;100;80;20;"State";-1;-1
184;3;"VDPCalc";0;"Resjour";"Site";0;10;78;20;"State";-1;-1
185;6;"DateSemisCalc";0;"Temp";"Simulation";0;0;-1;-1;"State";-1;-1
186;6;"CodeParcelle";0;"Resjour";"Simulation";0;0;119;20;"Input Var";-1;-1
193;5;"SeuilPP";13.6;"Variete";"Plante";0;0;34;99;"Param";-1;-1
222;1;"CapaREvap";0;"Temp";"Plot";0;0;-1;-1;"State";-1;-1
223;1;"CapaRDE";0;"Temp";"Plot";0;0;-1;-1;"State";-1;-1
224;1;"CapaRFE";0;"Temp";"Plot";0;0;-1;-1;"State";-1;-1
225;1;"Kr";0;"Temp";"Plot";0;1;-1;-1;"State";-1;-1
226;1;"ValRFE";0;"Temp";"Plot";0;0;-1;-1;"State";-1;-1
227;1;"ValRDE";0;"Temp";"Plot";0;0;-1;-1;"State";-1;-1
228;1;"ValRSurf";0;"Temp";"Plot";0;0;-1;-1;"State";-1;-1
229;1;"StRuMax";0;"Temp";"Plot";0;0;-1;-1;"State";-1;-1
233;2;"SDJLevee";30;"Variete";"Crop";0;0;6;99;"State";-1;-1
239;2;"ChangePhase";0;"Temp";"Crop";0;0;-1;-1;"State";-1;-1
241;5;"TxRuSurfGermi";0.6;"Variete";"Plante";0.4;1;109;99;"Param";-1;-1
243;1;"Conversion";0;"Resjour";"Plot";0;0;185;20;"State";-1;-1
244;2;"PARIntercepte";0;"Resjour";"Crop";0;15;95;20;"State";-1;-1
245;2;"CstrAssim";0;"Resjour";"Crop";0;1;109;20;"State";-1;-1
256;2;"DegresDuJour";0;"Resjour";"Crop";0;30;5;20;"State";-1;-1
272;5;"VRacLevee";25;"Variete";"Plante";0;50;117;99;"Param";-1;-1
277;5;"TOpt2";36;"Variete";"Plante";25;40;40;99;"Param";-1;-1
279;5;"TLim";44;"Variete";"Plante";35;50;41;99;"Param";-1;-1
281;1;"EpaisseurSurf";100;"Parcelle";"Plot";0;200;4;75;"Param";-1;-1
282;1;"EpaisseurProf";1400;"Parcelle";"Plot";0;10000;5;75;"Param";-1;-1
283;2;"StockIniSurf";10;"Parcelle";"Crop";0;0;2;75;"Input Var";-1;-1
284;1;"StockIniProf";10;"Parcelle";"Plot";0;0;3;75;"Input Var";-1;-1
297;2;"SeuilTempSsPhase";0;"Temp";"Crop";0;0;-1;-1;"State";-1;-1
298;2;"ChangeSsPhase";0;"Temp";"Crop";0;0;-1;-1;"State";-1;-1
299;2;"NumSsPhase";0;"Temp";"Crop";0;0;-1;-1;"State";-1;-1
300;1;"TminMoy";0;"Resjour";"Plot";0;30;150;20;"State";-1;-1
301;1;"TmaxMoy";0;"Resjour";"Plot";0;45;151;20;"State";-1;-1
309;2;"MaxLai";0;"Resjour";"Crop";0.1;12;8;20;"State";-1;-1
319;4;"HumSat";0.18;"TypeSol";"Soil";0;0;7;22;"Param";-1;-1
348;1;"CumPAR";0;"Temp";"Plot";0;0;-1;-1;"State";-1;-1
349;2;"RUE";0;"Resjour";"Crop";1;4;16;20;"State";-1;-1
350;2;"SeuilCstrMortality";0.05;"Variete";"Crop";0;30;111;99;"Param";-1;-1
365;5;"AttenMitch";0.9955;"Variete";"Plante";0;0;129;99;"Param";-1;-1
366;5;"PPExp";0.17;"Variete";"Plante";0.1;1;33;99;"Param";-1;-1
368;3;"ETP";0;"Meteorologie";"Site";0;15;11;83;"Input Var";-1;-1
370;2;"DegresDuJourCor";0;"Resjour";"Crop";0;30;6;20;"State";-1;-1
371;5;"DEVcstr";0.2;"Variete";"Plante";0;1;12;99;"Param";-1;-1
372;5;"Phyllo";35;"Variete";"Plante";20;80;11;99;"State";-1;-1
373;5;"PhaseStemElongation";0;"Resjour";"Plante";0;1;49;20;"State";-1;-1
374;5;"HaunGain";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
375;5;"HaunIndex";0;"Resjour";"Plante";0;40;51;20;"State";-1;-1
376;5;"InternodeLengthMax";100;"Variete";"Plante";100;500;130;99;"Param";-1;-1
377;5;"RelPotLeafLength";0;"Resjour";"Plante";0;1;182;20;"State";-1;-1
378;5;"LeafLengthMax";900;"Variete";"Plante";200;1200;131;99;"Param";-1;-1
379;5;"CulmsPerPlant";0;"Resjour";"Plante";0;20;20;20;"State";-1;-1
380;2;"IcMean";0;"Resjour";"Crop";0;2;67;20;"State";-1;-1
381;5;"ApexHeight";0;"Resjour";"Plante";0;4000;52;20;"State";-1;-1
382;5;"ApexHeightGain";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
383;5;"PlantHeight";0;"Resjour";"Plante";0;5000;53;20;"State";-1;-1
384;5;"PlantWidth";0;"Resjour";"Plante";0;1500;54;20;"State";-1;-1
385;2;"LIRkdfcl";0;"Resjour";"Crop";0;1;58;20;"State";-1;-1
387;1;"KcTot";0;"Resjour";"Plot";0;0;207;20;"State";-1;-1
388;1;"KceReal";0;"Resjour";"Plot";0;0;81;20;"Param";-1;-1
389;1;"VitesseRacinaireDay";0;"Temp";"Plot";0;35;-1;-1;"State";-1;-1
390;1;"LTRkdfcl";0;"Resjour";"Plot";0;1;59;20;"State";-1;-1
391;5;"ASScstr";0;"Variete";"Plante";0;1;78;99;"State";-1;-1
392;5;"KRespMaintLeaf";0.04;"Variete";"Plante";0.01;0.03;101;99;"Param";-1;-1
393;5;"KRespMaintSheath";0.02;"Variete";"Plante";0.005;0.02;102;99;"Param";-1;-1
394;5;"KRespMaintRoot";0.02;"Variete";"Plante";0.005;0.02;103;99;"Param";-1;-1
395;5;"KRespInternode";0.02;"Variete";"Plante";0.005;0.02;104;99;"Param";-1;-1
396;5;"KRespPanicle";0.05;"Variete";"Plante";0.005;0.02;105;99;"Param";-1;-1
397;5;"DryMatStructLeafPop";0;"Resjour";"Plante";0;5000;25;20;"State";-1;-1
398;5;"DryMatStructSheathPop";0;"Resjour";"Plante";0;5000;26;20;"State";-1;-1
399;5;"DryMatStructRootPop";0;"Resjour";"Plante";0;5000;27;20;"State";-1;-1
400;5;"DryMatStructInternodePop";0;"Resjour";"Plante";0;15000;28;20;"State";-1;-1
401;5;"DryMatStructPaniclePop";0;"Resjour";"Plante";0;1500;30;20;"State";-1;-1
402;5;"TilAbility";0.05;"Variete";"Plante";0;1;143;99;"Param";-1;-1
404;5;"CulmsPop";0;"Resjour";"Plante";0;0;22;20;"State";-1;-1
405;5;"PlantLeafNumNew";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
406;5;"PlantLeafNumTot";0;"Resjour";"Plante";0;100;70;20;"State";-1;-1
407;5;"CoeffTillerDeath";0.5;"Variete";"Plante";0;1;144;99;"Param";-1;-1
408;5;"TillerDeathPop";0;"Resjour";"Plante";0;0;69;20;"State";-1;-1
409;5;"CoeffLeafDeath";0.1;"Variete";"Plante";0;0.06;132;99;"Param";-1;-1
410;5;"LeafDeathPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
411;5;"MobiliLeafDeath";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
412;5;"DeadLeafdrywtPop";0;"Resjour";"Plante";0;5000;71;20;"State";-1;-1
415;5;"SupplyTot";0;"Resjour";"Plante";0;600;63;20;"Param";-1;-1
418;5;"DemLeafAreaPlant";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
419;5;"DemStructLeafPlant";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
420;5;"DemStructLeafPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
421;5;"DemStructSheathPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
422;5;"CoeffRootMassPerVolMax";0.2;"Variete";"Plante";0.0001;0.0005;124;99;"Param";-1;-1
423;5;"RootPartitMax";1;"Variete";"Plante";0.3;0.8;125;99;"Param";-1;-1
424;5;"GrowthStructTotPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
425;5;"RootFront";0;"Resjour";"Plante";0;3000;12;20;"State";-1;-1
426;5;"RootSystSoilSurfPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
428;5;"RootSystVolPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
431;5;"GainRootSystVolPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
432;5;"GainRootSystSoilSurfPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
433;5;"DemStructRootPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
435;5;"CoeffInternodeMass";0.03;"Variete";"Plante";0;0.1;139;99;"Param";-1;-1
436;5;"DemStructInternodePlant";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
437;5;"DemStructInternodePop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
438;5;"CoeffPanicleMass";0.25;"Variete";"Plante";0;0.3;145;99;"Param";-1;-1
439;5;"PanStructMassMax";15;"Variete";"Plante";0;10;146;99;"Param";-1;-1
440;5;"DemStructPaniclePlant";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
441;5;"PanStructMass";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
442;5;"DemStructPaniclePop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
443;5;"RespMaintTot";0;"Resjour";"Plante";0;600;62;20;"State";-1;-1
444;5;"DemStructRootPlant";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
446;5;"DemStructTotPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
448;5;"GrowthStructLeafPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
449;5;"GrowthStructSheathPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
450;5;"GrowthStructRootPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
451;5;"GrowthStructInternodePop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
452;5;"GrowthStructPaniclePop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
454;5;"AssimSurplus";0;"Resjour";"Plante";0;300;64;20;"State";-1;-1
456;5;"ResInternodeMobiliDayPot";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
457;5;"GrowthStructDeficit";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
458;5;"CoeffPanSinkPop";8;"Variete";"Plante";2;20;147;99;"Param";-1;-1
459;5;"SterilityCold";0;"Resjour";"Plante";0;1;37;20;"State";-1;-1
460;2;"SterilityHeat";0;"Resjour";"Crop";0;1;38;20;"State";-1;-1
461;2;"SterilityDrought";0;"Resjour";"Crop";0;1;39;20;"State";-1;-1
462;5;"PanicleSinkPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
463;5;"DemPanicleFillPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
464;5;"PanicleFilDeficit";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
465;5;"ResInternodeMobiliDay";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
466;5;"PanicleFilPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
467;5;"GrainYieldPop";0;"Resjour";"Plante";0;12000;24;20;"State";-1;-1
468;5;"CoeffResCapacityInternode";0.6;"Variete";"Plante";0;2;142;99;"Param";-1;-1
469;5;"ResCapacityInternodePop";0;"Resjour";"Plante";0;15000;73;20;"State";-1;-1
470;5;"IncreaseResInternodePop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
471;5;"AssimNotUsed";0;"Resjour";"Plante";0;200;65;20;"State";-1;-1
472;5;"GrowthResInternodePop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
473;5;"GrowthDryMatPop";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
474;5;"HarvestIndex";0;"Resjour";"Plante";0;0.6;41;20;"State";-1;-1
476;5;"DryMatStructTotPop";0;"Resjour";"Plante";0;20000;31;20;"State";-1;-1
477;5;"DryMatResInternodePop";0;"Resjour";"Plante";0;0;29;20;"State";-1;-1
478;5;"DryMatVegeTotPop";0;"Resjour";"Plante";0;20000;32;20;"State";-1;-1
479;5;"DryMatPanicleTotPop";0;"Resjour";"Plante";0;12000;33;20;"State";-1;-1
480;5;"DryMatAboveGroundPop";0;"Resjour";"Plante";0;32000;35;20;"State";-1;-1
481;5;"DryMatTotPop";0;"Resjour";"Plante";0;35000;36;20;"State";-1;-1
487;5;"Kcl";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
489;1;"LIRkdf";0;"Temp";"Plot";0;0;-1;-1;"State";-1;-1
490;1;"LTRkdf";0;"Temp";"Plot";0;0;-1;-1;"State";-1;-1
491;1;"SumDegreDayCor";0;"Resjour";"Plot";0;0;145;20;"State";-1;-1
496;5;"RootCstr";0;"Variete";"Plante";0;1;123;99;"Param";-1;-1
497;5;"WtRatioLeafSheath";1;"Variete";"Plante";0;1.5;134;99;"Param";-1;-1
498;5;"RootSystSoilSurfPopOld";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
499;5;"RootFrontOld";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
500;5;"RelMobiliInternodeMax";0.2;"Variete";"Plante";0;1;141;99;"Param";-1;-1
503;5;"InternodeResStatus";0;"Resjour";"Plante";0;1;74;20;"State";-1;-1
504;5;"LaiDead";0;"Resjour";"Plante";0;10;72;20;"State";-1;-1
505;2;"Ic";0;"Resjour";"Crop";0;0;18;20;"State";-1;-1
507;1;"SumPP";0;"Resjour";"Plot";0;0;146;20;"State";-1;-1
508;5;"CoeffLeafWLRatio";0.055;"Variete";"Plante";0.04;0.2;135;99;"Param";-1;-1
509;5;"RollingBase";1;"Variete";"Plante";0.1;1;136;99;"Param";-1;-1
510;5;"RollingSens";0;"Variete";"Plante";0;1;137;99;"Param";-1;-1
511;5;"KRolling";0;"Resjour";"Plante";0;1;57;20;"State";-1;-1
512;5;"SDJCorPhase4";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
513;5;"RankLongestLeaf";20;"Variete";"Plante";8;20;138;99;"Param";-1;-1
514;5;"NbDaysSinceGermination";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
515;5;"RespMaintDebt";0;"Resjour";"Plante";0;400;149;20;"State";-1;-1
516;5;"KCritSterCold1";18;"Variete";"Plante";0;20;148;99;"Param";-1;-1
517;5;"KCritSterCold2";14;"Variete";"Plante";0;20;149;99;"Param";-1;-1
518;5;"KCritSterHeat1";38;"Variete";"Plante";20;40;150;99;"Param";-1;-1
519;5;"KCritSterHeat2";44;"Variete";"Plante";20;50;151;99;"Param";-1;-1
520;5;"KCritSterFtsw1";0.3;"Variete";"Plante";0;1;152;99;"Param";-1;-1
521;5;"KCritSterFtsw2";0.1;"Variete";"Plante";0;1;153;99;"Param";-1;-1
522;5;"FtswMoy";0;"Resjour";"Plante";0;1;152;20;"State";-1;-1
523;2;"SterilityTot";0;"Resjour";"Crop";0;1;40;20;"State";-1;-1
524;5;"AssimNotUsedCum";0;"Resjour";"Plante";0;10000;66;20;"State";-1;-1
525;5;"CoefficientQ10";1.5;"Variete";"Plante";1;2;107;99;"Param";-1;-1
526;5;"CoeffInternodeNum";1.5;"Variete";"Plante";1;3;140;99;"Param";-1;-1
527;5;"PanicleNumPop";0;"Resjour";"Plante";0;0;42;20;"State";-1;-1
528;5;"PanicleNumPlant";0;"Resjour";"Plante";0;20;43;20;"State";-1;-1
529;5;"GrainYieldPanicle";0;"Resjour";"Plante";0;15;44;20;"State";-1;-1
530;5;"SpikeNumPop";0;"Resjour";"Plante";0;500000000;45;20;"State";-1;-1
531;5;"SpikeNumPanicle";0;"Resjour";"Plante";0;500;46;20;"State";-1;-1
532;5;"FertSpikeNumPop";0;"Resjour";"Plante";0;500000000;47;20;"State";-1;-1
533;5;"GrainFillingStatus";0;"Resjour";"Plante";0;1;48;20;"State";-1;-1
534;5;"RootShootRatio";0;"Resjour";"Plante";0;1;154;20;"State";-1;-1
536;5;"HaunCritTillering";3;"Variete";"Plante";1;0;157;99;"Param";-1;-1
537;5;"IcTillering";0.5;"Variete";"Plante";0;1;158;99;"Param";-1;-1
539;5;"CumTr";0;"Resjour";"Plante";0;0;167;20;"State";-1;-1
540;5;"CumEt";0;"Resjour";"Plante";0;0;168;20;"state";-1;-1
542;5;"TrEffInst";0;"Resjour";"Plante";0;0;155;20;"State";-1;-1
543;5;"TrEff";0;"Resjour";"Plante";0;0;156;20;"State";-1;-1
544;5;"WueEt";0;"Resjour";"Plante";0;0;157;20;"State";-1;-1
545;5;"WueTot";0;"Resjour";"Plante";0;0;158;20;"State";-1;-1
546;2;"PlantsPerHill";1;"ItineraireTechnique";"Crop";1;10;14;171;"Param";-1;-1
547;5;"TempSLA";1;"Variete";"Plante";0;1;159;99;"Param";-1;-1
548;5;"SlaMitch";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
549;5;"SlaNew";0;"Temp";"Plante";0;0;-1;-1;"State";-1;-1
550;5;"RelPhylloPhaseStemElong";0.5;"Variete";"Plante";0;1;160;99;"Param";-1;-1
551;5;"DryMatStemPop";0;"Resjour";"Plante";0;0;34;20;"state";-1;-1
552;5;"CulmsPerHill";0;"Resjour";"Plante";0;0;23;20;"state";-1;-1
553;1;"BundHeight";0;"ItineraireTechnique";"Plot";0;600;15;171;"Param";-1;-1
554;2;"IrrigAuto";1;"ItineraireTechnique";"Crop";0;1;18;171;"Param";-1;-1
555;2;"IrrigAutoTarget";0.5;"ItineraireTechnique";"Crop";0;1;19;171;"Param";-1;-1
556;2;"Transplanting";0;"ItineraireTechnique";"Crop";0;1;20;171;"Param";-1;-1
557;2;"DensityNursery";40000000;"ItineraireTechnique";"Crop";0;0;22;171;"Param";-1;-1
558;2;"DurationNursery";30;"ItineraireTechnique";"Crop";10;60;21;171;"Param";-1;-1
559;2;"CoeffTransplantingShock";0.5;"ItineraireTechnique";"Crop";0;1;24;171;"Param";-1;-1
560;1;"PercolationMax";10;"TypeSol";"Plot";0;20;9;22;"Param";-1;-1
561;1;"CounterNursery";0;"Temp";"Plot";0;0;-1;-1;"State";-1;-1
562;1;"Density";0;"Resjour";"Plot";0;0;165;20;"State";-1;-1
563;2;"DensityField";106000;"ItineraireTechnique";"Crop";0;0;23;171;"Param";-1;-1
564;2;"NurseryStatus";0;"Temp";"Crop";0;0;-1;-1;"State";-1;-1
565;2;"ChangeNurseryStatus";0;"Temp";"Crop";0;0;-1;-1;"State";-1;-1
566;4;"FloodwaterDepth";0;"Resjour";"Soil";0;0;160;20;"State";-1;-1
568;4;"IrrigAutoDay";0;"Resjour";"Soil";0;0;162;20;"State";-1;-1
569;4;"IrrigTotDay";0;"Resjour";"Soil";0;0;163;20;"State";-1;-1
570;4;"FractionPlantHeightSubmer";0;"Resjour";"Soil";0;0;164;20;"State";-1;-1
571;4;"FloodwaterGain";0;"Temp";"Soil";0;0;-1;-1;"State";-1;-1
572;1;"LifeSavingDrainage";1;"ItineraireTechnique";"Plot";0;1;16;171;"Param";-1;-1
573;5;"RootMassPerVol";0;"Resjour";"Plante";0;0;166;20;"State";-1;-1
574;1;"PlotDrainageDAF";99;"ItineraireTechnique";"Plot";0;99;17;171;"Param";-1;-1
